Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58547,Journals,Kurt Cobain,"Cobain, Kurt",,"=""157322359X""","=""9781573223591""",3.0,Riverhead Books,Hardcover,304,2003,2002,2019/01/22,2019/01/18,,,read,,,,1,0
609494,The Young Visiters,Daisy Ashford,"Ashford, Daisy",,"=""0897333659""","=""9780897333658""",3.0,Academy Chicago Publishers,Hardcover,105,2005,1919,2023/08/01,2023/07/30,,,read,Nine-year-olds are more self-aware than I assumed.,,,1,0
13838495,Usable Usability: Simple Steps for Making Stuff Better,Eric L. Reiss,"Reiss, Eric L.",,"=""1118185471""","=""9781118185476""",4.0,Wiley,Paperback,256,2012,2012,,2019/01/18,,,read,,,,1,0
20775791,Viy (English and Russian Language Edition),Nikolai Gogol,"Gogol, Nikolai",,"=""1910150479""","=""9781910150474""",3.0,Sovereign,Paperback,98,2014,1835,2023/10/06,2023/08/25,,,read,Folk horror with a cosy dash of vvitchy cottagecore.,,,1,0
29437517,Seven Hanged,Leonid Andreyev,"Andreyev, Leonid",Anthony Briggs,"=""024125213X""","=""9780241252130""",0,Penguin UK,Paperback,128,2016,1908,,2023/06/22,to-read,to-read (#210),to-read,,,,0,0
123656,The Book of Lies,Aleister Crowley,"Crowley, Aleister",,"=""0877285160""","=""9780877285168""",1.0,Samuel Weiser,Paperback,196,2010,1913,2023/05/27,2022/10/25,,,read,Reads like an edgy goth teen’s Tumblr.,,,1,0
251018,Moscow to the End of the Line,Venedikt Erofeev,"Erofeev, Venedikt",H.W. Tjalsma,"=""0445047178""","=""9780445047174""",3.0,Popular Library,Paperback,191,1982,1969,2023/06/22,2023/06/14,,,read,"Sure, the Moscow metro sounds treacherous, but have you even taken the Queensland Rail to Beenleigh after a few beers?",,,1,0
17986414,The Metamorphosis,Franz Kafka,"Kafka, Franz","Susan Bernofsky, David Cronenberg","=""0393347095""","=""9780393347098""",4.0,W. W. Norton & Company,Paperback,126,2014,1915,2023/01/01,2022/12/20,,,read,Bugmen can’t be chucking sickies.,,,1,0
82965,The Butcher Boy,Patrick McCabe,"McCabe, Patrick",,"=""0385312377""","=""9780385312370""",0,Delta,Paperback,231,1994,1992,,2023/08/29,to-read,to-read (#209),to-read,,,,0,0
65974472,Don't Let Them Get You Down,Philip Fracassi,"Fracassi, Philip",,"=""3949341277""","=""9783949341274""",0,Zagava Press,Hardcover,179,2022,,,2023/08/29,to-read,to-read (#208),to-read,,,,0,0
15829603,The House of the Dead,Fyodor Dostoevsky,"Dostoevsky, Fyodor",David McDuff,"=""""","=""""",0,Penguin,Paperback,366,2003,1862,,2023/08/25,to-read,to-read (#207),to-read,,,,0,0
24943865,The Nose,Nikolai Gogol,"Gogol, Nikolai",Ronald Wilks,"=""""","=""""",3.0,Penguin Classics,Kindle Edition,59,2015,1836,2023/06/30,2022/08/02,,,read,No one knows what The Nose knows as a nose knows no prose.,,,1,0
2085056,The Willows,Algernon Blackwood,"Blackwood, Algernon",,"=""155742537X""","=""9781557425379""",3.0,Wildside Press,Hardcover,108,2024,1907,2023/07/20,2023/07/12,,,read,Boats ‘n horrors,,,1,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""""","=""""",0,Scribner,Paperback,209,2020,2017,,2023/08/20,to-read,to-read (#206),to-read,,,,0,0
193265,Something At The Window Is Scratching,Roman Dirge,"Dirge, Roman",,"=""0943151090""","=""9780943151090""",3.0,Slave Labor Publications,Paperback,120,1998,1998,2023/03/04,2023/08/11,,,read,,,,1,0
1366856,"The Murders in the Rue Morgue (C. Auguste Dupin, #1)",Edgar Allan Poe,"Poe, Edgar Allan",,"=""0146001915""","=""9780146001918""",4.0,Penguin,Paperback,64,1996,1841,,2023/07/29,,,read,,,,1,0
8556291,Cities for People,Jan Gehl,"Gehl, Jan",,"=""""","=""""",0,Island Press,Hardcover,285,2010,2010,,2021/06/19,to-read,to-read (#48),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,New York Review Books,Paperback,292,2006,1965,,2023/07/15,to-read,to-read (#205),to-read,,,,0,0
52373,Regarding the Pain of Others,Susan Sontag,"Sontag, Susan",,"=""0141012374""","=""9780141012377""",0,Penguin Books,Paperback,117,2004,2003,,2023/07/13,to-read,to-read (#204),to-read,,,,0,0
636226,Asylum Piece,Anna Kavan,"Kavan, Anna",,"=""0720611237""","=""9780720611236""",0,Peter Owen Publishers,Paperback,212,2001,1940,,2023/07/12,to-read,to-read (#203),to-read,,,,0,0
13112139,"Diogenes the Cynic: Sayings and Anecdotes, with Other Popular Moralists",Diogenes of Sinope,"Sinope, Diogenes of",Robin Hard,"=""0199589240""","=""9780199589241""",0,Oxford University Press,Paperback,259,2012,2012,,2023/07/12,to-read,to-read (#202),to-read,,,,0,0
9922,Summer Crossing,Truman Capote,"Capote, Truman",,"=""0812975936""","=""9780812975932""",0,Random House Publishing Group,Paperback,160,2006,2005,,2023/07/07,to-read,to-read (#201),to-read,,,,0,0
30164694,The Man Who Watched the Trains Go By,Georges Simenon,"Simenon, Georges",Siân Reynolds,"=""0241258553""","=""9780241258552""",0,Penguin Books,Paperback,251,2017,1938,,2023/07/01,to-read,to-read (#200),to-read,,,,0,0
54444,The Diary of a Nobody,George Grossmith,"Grossmith, George","Weedon Grossmith, Ed Glinert","=""0140437320""","=""9780140437324""",0,Penguin Classic,Paperback,217,1999,1892,,2023/07/01,to-read,to-read (#199),to-read,,,,0,0
54633136,A Year with Swollen Appendices,Brian Eno,"Eno, Brian",,"=""0571364616""","=""9780571364619""",5.0,Faber & Faber,Hardcover,480,2021,1996,2022/09/20,2022/08/26,favourite-memoirs,favourite-memoirs (#4),read,,,,1,0
53236603,Three Minutes for a Dog: My Life in an Iron Lung,Paul R. Alexander,"Alexander, Paul R.",Norman Depaul Brown,"=""1525525328""","=""9781525525322""",0,FriesenPress,Paperback,156,2020,,,2023/06/29,to-read,to-read (#198),to-read,,,,0,0
501415,On the Marble Cliffs,Ernst Jünger,"Jünger, Ernst","Stuart Hood, George Steiner","=""0140029850""","=""9780140029857""",0,Penguin Books,Paperback,128,1984,1939,,2023/06/29,to-read,to-read (#197),to-read,,,,0,0
169439,Sanshirō,Natsume Sōseki,"Sōseki, Natsume",Jay Rubin,"=""1929280106""","=""9781929280100""",0,Penguin Classics,Paperback,248,2009,1908,,2023/06/29,to-read,to-read (#196),to-read,,,,0,0
330077,The Maimed,Hermann Ungar,"Ungar, Hermann","Pavel Růt, Kevin Blahut","=""8086264130""","=""9788086264134""",0,Twisted Spoon Press,Paperback,220,2002,1922,,2023/06/28,to-read,to-read (#195),to-read,,,,0,0
764953,The Piano Teacher,Elfriede Jelinek,"Jelinek, Elfriede",Joachim Neugroschel,"=""1852427507""","=""9781852427504""",0,Serpent's Tail,Paperback,288,2002,1983,,2023/06/23,to-read,to-read (#194),to-read,,,,0,0
6194499,The History of a Town,Mikhail Saltykov-Shchedrin,"Saltykov-Shchedrin, Mikhail",Paul Foote,"=""0902672398""","=""9780902672390""",0,Willem A. Meeuws (Oxford),Hardcover,192,1980,1870,,2023/06/22,to-read,to-read (#193),to-read,,,,0,0
6094772,Fathers and Sons,Ivan Turgenev,"Turgenev, Ivan","Peter Carson, Rosamund Bartlett, Tatyana Tolstaya","=""014144133X""","=""9780141441337""",0,Penguin,Paperback,200,2009,1862,,2023/06/20,to-read,to-read (#192),to-read,,,,0,0
